,wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,color_red,color_white,quality
0,w001,11.1,0.793,0.4,2.4,0.088,7,84,0.9968,3.71,0.87,10.0,1,0,5.0
1,w002,11.2,0.301,0.52,8.8,0.044,14,95,0.9968,3.02,1.15,10.0,1,0,8.0
2,w003,6.5,0.52,0.01,4.1,0.049,16,137,0.9988,3.68,0.64,11.7,1,0,5.0
3,w004,9.2,0.749,0.22,2.5,0.049,9,23,0.9959,3.13,0.8,9.2,1,0,5.0
4,w005,8.5,0.194,0.26,7.4,0.063,32,145,0.9994,3.36,0.89,12.1,1,0,7.0
5,w006,6.0,0.748,0.36,6.5,0.063,29,106,0.9965,3.87,0.82,10.9,1,0,6.0
6,w007,10.8,0.636,0.14,9.5,0.084,15,128,0.9983,3.58,0.81,12.2,1,0,6.0
7,w008,6.2,0.632,0.88,2.7,0.085,18,58,0.9957,3.99,0.78,10.6,1,0,6.0
8,w009,10.9,0.669,0.55,4.2,0.059,24,179,0.9995,3.41,0.76,10.5,1,0,5.0
9,w010,5.3,0.563,0.89,7.4,0.038,31,68,0.9974,3.98,0.53,13.4,1,0,7.0
