color,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
white,9.8,0.36,0.46,10.5,,4,83,0.9956,2.89,0.3,10.1,4
white,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
white,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
white,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4
white,7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4
white,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4
white,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
white,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4
white,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
red,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4
red,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
red,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
red,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
red,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
red,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
red,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
red,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4
red,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4
red,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4
white,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3
white,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,3
white,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
white,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,3
